dayname,type,lesson1,lesson2,gospel,psalm,s2lesson,s2gospel,s3lesson,s3gospel,hymnabc,hymn,note
Pentecost second,historic,Is. 32:14-20,Acts 2:42-47,John 4:5-26,19,,,,,,,
Pentecost second,ilcwa,Ezek. 36:22-28,Rev. 21:1-5,Mt. 28:16-20,,,,,,401,5,
Festival of the Reformation,ilcwb,Jer. 31:31-34,Rom. 3:19-28,Jn. 8:31-36,46,,,,,250,227,
Festival of the Reformation,ilcwc,Jer. 31:31-34,Rom. 3:19-28,Jn. 8:31-36,46,,,,,250,227,
Festival of the Reformation,historic,2 Ch. 29:12-19,Rev. 14:6-7,Matt. 11:12-15,46,1 Sm. 3:19-4:1,John 8:31-46,,,,,
Festival of the Reformation,ilcwa,Jer. 31:31-34,Rom. 3:19-28,Jn. 8:31-36,46,,,,,250,227,
Holy Saturday,historic,Job 14:1-14,1 Pet. 4:1-8,Matt. 27:57-66,130,,,,,,,
Ascension,ilcwb,Ac. 1:1-11,Eph. 1:16-23,Lk. 24:44-53,110,,,,,389,388,
Ascension,ilcwc,Ac. 1:1-11,Eph. 1:16-23,Lk. 24:44-53,110,,,,,389,388,
Ascension,historic,Is. 57:15,Acts 1:1-11,Mark 16:14-20,47,Ps. 110:1-7,John 17:24-26,Eph. 4:7-10,Luke 24:44-53,,,
Ascension,ilcwa,Ac. 1:1-11,Eph. 1:16-23,Lk. 24:44-53,110,,,,,389,388,
Pentecost 19,ilcwb,Nm. 11:4-29,Jam. 4:7-12,Mk. 9:38-50,135:1-14,,,,,220,219,
Pentecost 19,ilcwc,Amos 6:1-7,1 Tm. 6:6-16,Lk. 16:19-31,146,,,,,220,406,
Pentecost 19,ilcwa,Ezek. 18:25-32,Phil. 2:1-11,Mt. 21:28-32,25:1-10,,,,,220,53,
Nativity of St. John the Baptist,historic,Isaiah 40:1-5,,Luke 1:57-80,,,,,,,,
Lent 5,ilcwb,Jer. 31:31-34,Heb. 5:7-9,Jn. 12:20-33,51:10-15,,,,,303,236,
Lent 5,ilcwc,Is. 43:16-21,Phil. 3:8-14,Lk. 20:9-19,28:1-9,,,,,303,249,
Lent 5,historic,Gen. 12:1-3,Heb. 9:11-15,John 8:46-59,43,1 Co. 1:21-31,Matt. 10:32-42,,,,,
Lent 5,ilcwa,Ezek. 37:1-14,Rom. 8:11-19,Jn. 11:47-53,116:1-9,,,,,303,275,
Lent 4,ilcwb,Nm. 21:4-9,Eph. 2:4-10,Jn. 3:14-21,27:1-14,,,,,403,226,
